t,open,high,low,close,volume
1752975000000,117994,118049.9,117992.1,118049.9,376895.007030654
1752974700000,118118,118123.9,117986.2,117994.1,2132627.643099518
1752974400000,118028.1,118138,118028.1,118117.9,1211442.438302286
1752974100000,117996.1,118075.9,117990,118028,585348.059678172
1752973800000,118011.1,118013.5,117936,117996.1,473492.826747689
1752973500000,117985,118080.5,117976.8,118011.1,597525.309989999
1752973200000,117942.8,118030.8,117892,117986.1,468736.681761823
1752972900000,117935,118001.1,117934.5,117942.8,584247.620159189
1752972600000,117799.9,117938,117777,117934.9,452776.434007708
1752972300000,117680.1,117799.9,117680,117799.9,136319.023615255
1752972000000,117755,117755,117668.1,117680.1,329409.258503669
1752971700000,117704,117794.9,117700,117755.1,143848.618171525
1752971400000,117656,117723.9,117650,117704.1,360925.074969502
1752971100000,117753.9,117754,117648.3,117656.1,545248.446093422
1752970800000,117791.6,117794.9,117746.1,117754,313284.024296962
1752970500000,117700.1,117794.9,117700,117787.7,199011.296948101
1752970200000,117738.1,117738.1,117694.1,117700,196813.092851138
1752969900000,117803.8,117806.4,117738,117738,260328.734427245
1752969600000,117838.3,117874,117804,117804,624243.008759427
1752969300000,117856.4,117888,117825.5,117838.2,431263.705888698
1752969000000,117830.5,117880,117811.8,117856,200085.840838081
1752968700000,117804,117864,117790,117830.4,233600.178728901
1752968400000,117840.2,117855.9,117795.1,117803.1,226844.157103389
1752968100000,117890,117928,117812,117840,279750.706707297
1752967800000,117793.3,117890,117793.3,117890,147068.723815804
1752967500000,117789.9,117810,117738,117793.2,247603.724253123
1752967200000,117820,117820.1,117772,117789.9,339944.195237884
1752966900000,117908,117908,117820,117820.1,232576.769340495
1752966600000,117819.9,117940.4,117778.1,117908.9,549084.543710344
1752966300000,117805.3,117840,117792.9,117819.8,226054.700929052
1752966000000,117786.1,117805.4,117735.2,117805.4,277838.636979395
1752965700000,117845,117845,117766,117786.3,344952.930003139
1752965400000,117835.9,117846.7,117817.1,117844.9,198999.104600656
1752965100000,117833.9,117838,117806,117836,113724.693307778
1752964800000,117742,117843.9,117735.1,117833.9,195940.127498082
1752964500000,117759.8,117759.9,117700,117741.9,247806.639863359
1752964200000,117710,117759.9,117700,117759.8,192364.525668909
1752963900000,117758.2,117758.3,117702.1,117710,377008.981899917
1752963600000,117781.6,117797.7,117688,117758.2,394549.32768736
1752963300000,117763.3,117797.9,117731,117781.5,165856.256077096
1752963000000,117683.8,117778,117683.8,117761.9,595733.926986016
1752962700000,117536.8,117680.3,117523.8,117680.3,280270.598598075
1752962400000,117692,117692.1,117536.7,117536.8,1406446.86399837
1752962100000,117670.5,117753.3,117644,117692,425928.179209471
1752961800000,117599.2,117700,117599.2,117670.6,642888.76615437
1752961500000,117478,117598.5,117478,117598.5,294037.569463354
1752961200000,117577.9,117609.9,117475,117477.1,832859.514000563
1752960900000,117535.9,117626.3,117512,117577.8,1084321.233221901
1752960600000,117689.2,117690.2,117404.4,117536,1441569.731564538
1752960300000,117327.2,117691.7,117267.9,117688,3015251.440096429
1752960000000,117444,117580.7,117327.3,117327.3,1892350.993264001
1752959700000,117605,117676,117382.4,117440.9,2123477.22791637
1752959400000,117761.7,117836.9,117512.7,117604.3,2676371.736736977
1752959100000,117688.2,117810,117682.2,117761.7,541425.487854655
1752958800000,117715,117812,117688.2,117688.2,537942.278379966
1752958500000,118010,118047.9,117694.3,117715,1089939.1700837
1752958200000,118038,118078,117988.1,118009.9,664614.191887828
1752957900000,117982.8,118038,117959.9,118038,462574.381176974
1752957600000,117962.1,118003.9,117962.1,117982.8,399161.619426631
1752957300000,117958.2,118002.7,117940.4,117962.2,608157.430238911
1752957000000,118006.2,118006.2,117958.1,117958.1,210974.736223614
1752956700000,117979.9,118007.9,117927.6,118006.2,467138.010181801
1752956400000,117947.9,117979.2,117922,117979.2,729107.332866003
1752956100000,118014.6,118014.6,117898,117947.1,1288323.774190224
1752955800000,118054,118070,118014.6,118014.7,201717.391040604
1752955500000,117982.1,118148,117982,118054,600548.589550882
1752955200000,118005.8,118005.8,117959.6,117982.1,1122145.5659115
1752954900000,118005,118040,117990,118005.9,387786.29857446
1752954600000,118036,118065.8,117975.8,118004.9,425104.597291012
1752954300000,118120,118120,117995.2,118035.9,697112.570812577
1752954000000,117999.8,118142.2,117987.5,118119.9,919176.125271169
1752953700000,117900,118002.2,117898,117999.9,879022.449201869
1752953400000,117852.5,117912,117852.5,117900,506787.302514498
1752953100000,117803.1,117856,117780.1,117852.5,660197.356207699
1752952800000,117785.7,117828,117761.2,117803.1,468653.983861685
1752952500000,117734.1,117819.9,117728.2,117787.1,477756.328294192
1752952200000,117672,117748,117569.3,117734.1,909036.100573209
1752951900000,117867.8,117867.8,117664.8,117672,2365383.763220433
1752951600000,117859.9,117922,117852,117868,568776.300914219
1752951300000,117891.9,117891.9,117833.8,117859.8,214287.857511975
1752951000000,117884,117912,117869.8,117892,657073.391090402
1752950700000,117938,117992,117876.2,117883.9,491517.590022199
1752950400000,118022.1,118032,117928.3,117937.9,446057.684517958
1752950100000,117986.5,118029.9,117945.1,118022,305669.390721182
1752949800000,117916.2,117987.5,117916.2,117986.6,251579.447445541
1752949500000,117976,117986,117916.1,117916.2,285834.533171837
1752949200000,117841.8,117980,117841.8,117975.9,249097.970362366
1752948900000,117942.5,117983.9,117841.8,117841.9,678657.217063122
1752948600000,117897.3,117947.9,117897.3,117942.4,190435.373454315
1752948300000,117832,117945,117832,117897.3,159372.416066776
1752948000000,117810.9,117861.3,117751.7,117832,217221.318949247
1752947700000,117845.8,117845.8,117734.2,117810.9,330114.873855114
1752947400000,117783.5,117857.9,117783.4,117846.1,214225.680736072
1752947100000,117814.7,117862,117769.8,117782.8,569283.207346305
1752946800000,117750,117813.9,117750,117813.9,3697653.215421437
1752946500000,117799.2,117799.2,117740.7,117750.1,474201.158921765
1752946200000,117835.2,117875.9,117799,117799.1,247937.417888124
1752945900000,117856,117856,117804.5,117835.2,374533.633430048
1752945600000,117876,117907.9,117844.5,117857.2,675270.435531895
1752945300000,117888,117925,117876.1,117876.1,274615.390163712
1752945000000,117925,117940,117880,117888.1,781574.651634031
1752944700000,117942.4,117950.9,117882.9,117925.1,850923.801040482
1752944400000,117977.6,117992,117942.4,117942.4,708545.180828574
1752944100000,118047.9,118059.9,117955,117977.6,848532.977934147
1752943800000,118120,118120,118025.9,118048,319552.30730528
1752943500000,118082.1,118146.7,118075,118120.1,257179.653161524
1752943200000,118083.9,118083.9,118006.6,118082,978464.836026724
1752942900000,118020.2,118119.9,118020.2,118083.9,470036.990372774
1752942600000,118110,118162,118020.1,118020.1,2384191.982196255
1752942300000,117949.9,118158,117920,118110,1191988.056810783
1752942000000,117942.9,117966,117886,117949.9,260903.539260348
1752941700000,117896,117943.2,117850.1,117942.9,261746.512460999
1752941400000,117885.1,117937.7,117865,117897.3,384396.237404992
1752941100000,117871.8,117916,117850.1,117885.1,616010.330060607
1752940800000,118052.1,118052.1,117871.8,117871.8,2049582.816575784
1752940500000,118087.2,118104,118052.1,118052.1,282562.63199393
1752940200000,118174,118197.6,118029.8,118087.2,429379.993879244
1752939900000,118218.7,118218.7,118126.5,118173.9,565221.17948232
1752939600000,118180.1,118239.9,118180,118218.6,215267.387084799
1752939300000,118151.9,118245,118119.3,118180,623137.047911014
1752939000000,118192,118222,118105,118151.9,372541.453872387
1752938700000,118180,118200,118146,118192,282826.95129725
1752938400000,118135.6,118196,118125.1,118180.1,541836.662885624
1752938100000,117910,118185.1,117910,118135,1383113.741863297
1752937800000,117908,117954.5,117902.9,117910,2928267.177119109
1752937500000,117793.7,117908.1,117793.6,117908.1,570611.448263598
1752937200000,117674.9,117811.9,117652,117793.7,665329.514525976
1752936900000,117759.3,117759.4,117633.9,117675,1003016.015130779
1752936600000,117795.4,117808,117733.2,117759.4,819838.40250838
1752936300000,117800,117888.8,117658.9,117795.4,1542951.69850355
1752936000000,117761,117799.9,117650,117799.9,1834022.377387936
1752935700000,117876,117958,117742.3,117764,2209528.72662702
1752935400000,117878,118000,117860,117876,2148338.813627286
1752935100000,118128.8,118153.9,117805.5,117878,4572852.015954067
